"","date","eventData","avgTemp","tempDept","precipitation","humidity","barometer","dewPoint","avgWind","maxWind","windDirection","sunrise","sunset"
"263","09-19","BR",68,7.3,0,64,29.1,55,6.2,21,200,623,1840
"264","09-20","RA",70,9.7,0.005,60,29.21,54,3.2,18,310,624,1838
"265","09-21","TS,RA,FG,BR",68,8.2,0.05,80,29.23,60,4.1,36,290,625,1836
"266","09-22","FG,BR",72,12.6,0,74,29.15,62,3.6,15,220,626,1834
"267","09-23","FG,BR,HZ",64,5,0,82,29.16,59,7.5,22,10,628,1832
"268","09-24","",60,1.4,0,71,29.29,49,6.7,18,60,629,1831
"269","09-25","",62,3.9,0,62,29.21,49,8.7,24,150,630,1829
"270","09-26","RA,BR",60,2.3,0.18,65,28.95,49,12,35,250,631,1827
"271","09-27","RA",58,0.7,0.005,59,28.84,42,12.4,36,250,632,1825
"272","09-28","RA",57,0.1,0.02,77,28.97,49,8.3,23,50,633,1824
"273","09-29","RA,BR",58,1.5,1.22,90,29.21,56,12.4,27,50,634,1822
"274","09-30","TS,RA,BR",60,3.9,0.45,90,29.23,56,10.3,22,40,635,1820
"275","10-01","TS,RA,BR",59,3.3,0.24,85,29.11,54,7,24,190,636,1818
"276","10-02","FG,BR,HZ",60,4.8,0,82,29.08,52,3.4,12,260,637,1817
"277","10-03","FG,BR",59,4.1,0.005,85,29.16,54,3.7,13,140,639,1815
"278","10-04","BR,HZ",62,7.5,0,75,29.21,53,8.2,22,150,640,1813
"279","10-05","TS,RA,FG,BR",70,15.9,0.62,77,29.13,59,9.9,43,260,641,1811
"280","10-06","RA,FG,BR",68,14.3,0.01,82,29.2,62,4.8,18,180,642,1810
"281","10-07","RA",66,12.7,0.005,69,29.12,55,12.4,32,280,643,1808
"282","10-08","RA",50,-2.9,0,66,29.25,37,9.2,29,270,644,1806
"283","10-09","",49,-3.6,0,69,29.41,37,2.5,16,350,645,1805
"284","10-10","",50,-2.2,0,68,29.44,41,6.2,16,150,647,1803
"285","10-11","",61,9.1,0,62,29.3,47,9.4,21,170,648,1801
"286","10-12","TS,RA,BR",62,10.5,0.44,74,29.05,52,11.2,44,240,649,1800
"287","10-13","",48,-3.2,0,71,29.28,38,6.3,22,320,650,1758
"288","10-14","",48,-2.8,0,69,29.36,38,5.5,18,160,651,1756
"289","10-15","BR",58,7.5,0,75,29.13,51,12,26,210,653,1755
"290","10-16","TS,RA,BR",65,14.8,1.01,88,29.02,61,8.1,30,210,654,1753
"291","10-17","RA,BR",70,20.2,0.005,76,28.82,62,12.4,34,210,655,1751
"292","10-18","",64,14.5,0,70,28.72,58,14.6,36,210,656,1750
"293","10-19","BR",60,10.8,0.01,71,29.13,48,3.3,21,230,657,1748
"294","10-20","RA",52,3.1,0.005,80,29.14,48,7.1,21,360,659,1747
"295","10-21","",46,-2.6,0.005,65,29.13,35,8.8,23,20,700,1745
"296","10-22","",45,-3.2,0,67,29.08,35,8.6,25,290,701,1744
"297","10-23","BR",54,6.1,0,67,28.98,43,7,24,360,702,1742
"298","10-24","",46,-1.6,0,65,29.29,36,8.6,23,320,703,1741
"299","10-25","",42,-5.3,0,70,29.48,32,2.7,17,310,705,1739
"300","10-26","RA,BR",37,-10,0.62,86,29.4,34,10.4,29,110,706,1738
"301","10-27","RA,BR",40,-6.7,0.15,87,29.16,38,6.4,19,350,707,1737
"302","10-28","BR",44,-2.3,0,75,29.24,40,9.5,28,210,708,1735
"303","10-29","BR",62,16,0,76,28.97,55,12.7,33,220,710,1734
"304","10-30","RA",46,0.3,0.1,79,29.17,40,6.3,18,350,711,1732
"305","10-31","BR",42,-3.4,0,73,29.23,35,7.7,23,150,712,1731
"306","11-01","",62,17,0.005,66,29,52,10.4,26,160,713,1730
"307","11-02","TS,RA,FG,BR",58,13.3,1.35,83,29.18,56,4.6,18,320,715,1729
"308","11-03","RA,BR",52,7.6,0.2,80,29.21,47,6.4,21,350,716,1727
"309","11-04","BR",46,2,0,72,29.42,38,5.7,15,280,717,1726
"310","11-05","BR",54,10.3,0,69,29.35,43,7.7,19,260,719,1725
"311","11-06","FG,BR,HZ",51,7.7,0,67,29.41,39,2.9,12,180,720,1724
"312","11-07","FG,BR",53,10.1,0,68,29.39,41,3.5,17,180,721,1723
"313","11-08","RA",52,9.4,0.005,73,29.19,43,10.2,27,340,722,1721
"314","11-09","",48,5.8,0,59,29.26,34,8.8,25,20,724,1720
"315","11-10","",52,10.2,0,53,29.06,35,14.8,37,240,725,1719
"316","11-11","",42,0.6,0,54,29.21,29,9.2,28,10,726,1718
"317","11-12","",37,-4.1,0,63,29.43,26,7.1,21,260,727,1717
"318","11-13","",46,5.3,0,55,29.18,28,13.2,27,220,729,1716
"319","11-14","",48,7.7,0,59,29,33,8.3,20,220,730,1715
"320","11-15","BR,HZ",48,8.1,0,72,28.94,40,5.1,23,290,731,1715
"321","11-16","FG,BR,HZ",46,6.5,0,75,28.97,40,3.9,15,260,732,1714
"322","11-17","BR,HZ",50,10.9,0,70,29,42,11.1,27,180,734,1713
"323","11-18","TS,RA,BR",60,21.3,0.3,66,28.9,49,13.9,44,210,735,1712
"324","11-19","SN,UP,HZ",40,1.8,0.005,71,28.95,27,19.2,39,310,736,1711
"325","11-20","",30,-7.8,0,59,29.21,18,14.7,32,320,737,1711
"326","11-21","",31,-6.4,0,59,29.26,17,9.8,26,320,739,1710
